customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,Contract,PaymentMethod,InternetService,n_addon_services,MonthlyCharges,charge_tier,TotalCharges,Churn,churn_flag
7410-OIEDU,Male,false,false,false,10,07-12m,Month-to-month,Mailed check,Fiber optic,2,79.85,$70-90,887.35,false,0
2273-QCKXA,Male,false,false,false,1,00-06m,Month-to-month,Mailed check,DSL,1,49.05,$35-70,49.05,false,0
0731-EBJQB,Female,false,true,true,52,49-72m,One year,Electronic check,No,0,20.4,<$35,1090.65,false,0
1891-QRQSA,Male,true,true,true,64,49-72m,Two year,Bank transfer (automatic),Fiber optic,5,111.6,$90+,7099.0,false,0
8028-PNXHQ,Male,false,true,true,62,49-72m,Two year,Bank transfer (automatic),No,0,24.25,<$35,1424.6,false,0
5630-AHZIL,Female,false,false,true,3,00-06m,Month-to-month,Bank transfer (automatic),DSL,3,64.5,$35-70,177.4,false,0
2673-CXQEU,Female,true,false,false,56,49-72m,One year,Electronic check,Fiber optic,5,110.5,$90+,6139.5,false,0
6416-JNVRK,Female,false,false,false,46,25-48m,One year,Credit card (automatic),DSL,1,55.65,$35-70,2688.85,false,0
5590-ZSKRV,Female,false,true,true,8,07-12m,Month-to-month,Mailed check,DSL,2,54.65,$35-70,482.25,false,0
0191-ZHSKZ,Male,true,false,false,30,25-48m,Month-to-month,Electronic check,DSL,4,74.75,$70-90,2111.3,false,0
3887-PBQAO,Female,false,true,true,45,25-48m,One year,Credit card (automatic),No,0,25.9,<$35,1216.6,false,0
5919-TMRGD,Female,false,false,true,1,00-06m,Month-to-month,Electronic check,Fiber optic,1,79.35,$70-90,79.35,true,1
8108-UXRQN,Female,false,true,true,11,07-12m,Month-to-month,Electronic check,DSL,3,50.55,$35-70,565.35,false,0
9191-MYQKX,Female,false,true,false,7,07-12m,Month-to-month,Bank transfer (automatic),Fiber optic,1,75.15,$70-90,496.9,true,1
9919-YLNNG,Female,false,false,false,42,25-48m,Month-to-month,Bank transfer (automatic),Fiber optic,5,103.8,$90+,4327.5,false,0
0318-ZOPWS,Female,false,true,false,49,49-72m,Two year,Bank transfer (automatic),No,0,20.15,<$35,973.35,false,0
4445-ZJNMU,Male,false,false,false,9,07-12m,Month-to-month,Credit card (automatic),Fiber optic,3,99.3,$90+,918.75,false,0
4808-YNLEU,Female,false,true,false,35,25-48m,One year,Bank transfer (automatic),DSL,2,62.15,$35-70,2215.45,false,0
1862-QRWPE,Female,false,true,true,48,25-48m,Two year,Bank transfer (automatic),No,0,20.65,<$35,1057.0,false,0
2796-NNUFI,Female,false,true,true,46,25-48m,Two year,Mailed check,No,0,19.95,<$35,927.1,false,0
3016-KSVCP,Male,false,true,false,29,25-48m,Month-to-month,Mailed check,DSL,1,33.75,<$35,1009.25,false,0
4767-HZZHQ,Male,false,true,true,30,25-48m,Month-to-month,Bank transfer (automatic),Fiber optic,2,82.05,$70-90,2570.2,false,0
2424-WVHPL,Male,true,false,false,1,00-06m,Month-to-month,Electronic check,Fiber optic,1,74.7,$70-90,74.7,false,0
7233-PAHHL,Male,false,true,true,66,49-72m,Two year,Mailed check,DSL,5,84.0,$70-90,5714.25,false,0
6067-NGCEU,Female,false,false,false,65,49-72m,Month-to-month,Credit card (automatic),Fiber optic,5,111.05,$90+,7107.0,false,0
9848-JQJTX,Male,false,false,false,72,49-72m,Two year,Bank transfer (automatic),Fiber optic,4,100.9,$90+,7459.05,false,0
8637-XJIVR,Female,false,false,false,12,07-12m,Month-to-month,Electronic check,Fiber optic,1,78.95,$70-90,927.35,true,1
9803-FTJCG,Male,false,true,true,71,49-72m,One year,Credit card (automatic),DSL,3,66.85,$35-70,4748.7,false,0
0278-YXOOG,Male,false,false,false,5,00-06m,Month-to-month,Mailed check,No,0,21.05,<$35,113.85,true,1
3212-KXOCR,Male,false,false,false,52,49-72m,Two year,Bank transfer (automatic),No,0,21.0,<$35,1107.2,false,0
4598-XLKNJ,Female,true,true,false,25,25-48m,Month-to-month,Electronic check,Fiber optic,4,98.5,$90+,2514.5,true,1
6380-ARCEH,Male,false,false,false,1,00-06m,Month-to-month,Mailed check,No,0,20.2,<$35,20.2,false,0
3679-XASPY,Female,false,true,true,1,00-06m,Month-to-month,Electronic check,No,0,19.45,<$35,19.45,false,0
7123-WQUHX,Male,false,false,false,38,25-48m,One year,Bank transfer (automatic),Fiber optic,3,95.0,$90+,3605.6,false,0
5386-THSLQ,Female,true,true,false,66,49-72m,One year,Bank transfer (automatic),DSL,3,45.55,$35-70,3027.25,false,0
3192-NQECA,Male,false,true,false,68,49-72m,Two year,Bank transfer (automatic),Fiber optic,5,110.0,$90+,7611.85,true,1
6180-YBIQI,Male,false,false,false,5,00-06m,Month-to-month,Mailed check,DSL,0,24.3,<$35,100.2,false,0
6728-DKUCO,Female,false,true,true,72,49-72m,One year,Electronic check,Fiber optic,4,104.15,$90+,7303.05,false,0
9750-BOOHV,Female,false,false,false,32,25-48m,One year,Mailed check,DSL,1,30.15,<$35,927.65,false,0
8597-CWYHH,Male,false,false,false,43,25-48m,One year,Mailed check,Fiber optic,2,94.35,$90+,3921.3,false,0
2848-YXSMW,Male,false,true,true,72,49-72m,Two year,Credit card (automatic),No,0,19.4,<$35,1363.25,false,0
0486-HECZI,Male,false,true,false,55,49-72m,Month-to-month,Electronic check,Fiber optic,3,96.75,$90+,5238.9,true,1
4549-ZDQYY,Female,false,false,false,52,49-72m,One year,Credit card (automatic),DSL,3,57.95,$35-70,3042.25,false,0
5712-AHQNN,Female,false,false,false,43,25-48m,Month-to-month,Electronic check,Fiber optic,3,91.65,$90+,3954.1,false,0
4846-WHAFZ,Female,true,true,false,37,25-48m,Month-to-month,Electronic check,Fiber optic,0,76.5,$70-90,2868.15,true,1
5256-SKJGO,Female,false,true,true,64,49-72m,Two year,Electronic check,DSL,4,54.6,$35-70,3423.5,false,0
3071-VBYPO,Male,false,true,true,3,00-06m,Month-to-month,Electronic check,Fiber optic,3,89.85,$70-90,248.4,false,0
9560-BBZXK,Female,false,false,false,36,25-48m,Two year,Bank transfer (automatic),DSL,1,31.05,<$35,1126.35,false,0
5299-RULOA,Female,false,true,true,10,07-12m,Month-to-month,Electronic check,Fiber optic,3,100.25,$90+,1064.65,true,1
8402-OOOHJ,Female,false,false,false,41,25-48m,Two year,Mailed check,No,0,20.65,<$35,835.15,false,0
9445-ZUEQE,Male,false,true,true,27,25-48m,Month-to-month,Credit card (automatic),Fiber optic,2,85.2,$70-90,2151.6,false,0
1091-SOZGA,Female,false,true,true,56,49-72m,One year,Credit card (automatic),Fiber optic,3,99.8,$90+,5515.45,false,0
2928-HLDBA,Female,false,false,false,6,00-06m,Month-to-month,Mailed check,No,0,20.7,<$35,112.75,false,0
0404-SWRVG,Male,false,false,false,3,00-06m,Month-to-month,Electronic check,Fiber optic,0,74.4,$70-90,229.55,true,1
6497-TILVL,Female,false,true,true,7,07-12m,Month-to-month,Mailed check,DSL,1,50.7,$35-70,350.35,false,0
7219-TLZHO,Female,false,true,true,4,00-06m,Month-to-month,Mailed check,No,0,20.85,<$35,62.9,false,0
4622-YNKIJ,Male,false,false,false,33,25-48m,Two year,Electronic check,Fiber optic,3,88.95,$70-90,3027.65,false,0
4412-YLTKF,Female,true,false,false,27,25-48m,Month-to-month,Electronic check,Fiber optic,1,78.05,$70-90,2135.5,true,1
6734-PSBAW,Male,false,true,false,72,49-72m,Two year,Bank transfer (automatic),No,0,23.55,<$35,1723.95,false,0
3930-ZGWVE,Male,false,false,false,1,00-06m,Month-to-month,Mailed check,No,0,19.75,<$35,19.75,false,0
2639-UGMAZ,Male,true,false,false,71,49-72m,One year,Electronic check,DSL,4,56.45,$35-70,3985.35,false,0
2876-GZYZC,Female,false,false,false,13,13-24m,Month-to-month,Electronic check,Fiber optic,1,85.95,$70-90,1215.65,false,0
6207-WIOLX,Female,false,true,true,25,25-48m,Month-to-month,Credit card (automatic),DSL,5,58.6,$35-70,1502.65,true,1
8587-XYZSF,Male,false,false,false,67,49-72m,Two year,Bank transfer (automatic),DSL,1,50.55,$35-70,3260.1,false,0
3091-FYHKI,Male,false,false,false,1,00-06m,Month-to-month,Electronic check,DSL,1,35.45,$35-70,35.45,true,1
2372-HWUHI,Male,false,false,false,2,00-06m,Month-to-month,Electronic check,DSL,0,44.35,$35-70,81.25,true,1
7799-LGRDP,Female,false,false,false,43,25-48m,Two year,Credit card (automatic),No,0,25.7,<$35,1188.2,false,0
7850-VWJUU,Female,false,false,false,23,13-24m,Month-to-month,Bank transfer (automatic),Fiber optic,1,75.0,$70-90,1778.5,false,0
3774-VBNXY,Female,false,true,true,64,49-72m,Two year,Mailed check,No,0,20.2,<$35,1277.75,false,0
6217-KDYWC,Male,false,false,true,57,49-72m,Two year,Mailed check,No,0,19.6,<$35,1170.55,false,0
0390-DCFDQ,Female,true,true,false,1,00-06m,Month-to-month,Mailed check,Fiber optic,0,70.45,$70-90,70.45,true,1
3146-MSEGF,Female,true,true,true,72,49-72m,Two year,Credit card (automatic),DSL,6,88.05,$70-90,6425.65,false,0
4080-OGPJL,Female,false,false,false,8,07-12m,Month-to-month,Electronic check,DSL,3,71.15,$70-90,563.65,true,1
1095-WGNGG,Female,false,true,false,61,49-72m,Two year,Bank transfer (automatic),Fiber optic,3,101.05,$90+,5971.25,false,0
2636-SJDOU,Male,false,false,false,64,49-72m,One year,Credit card (automatic),Fiber optic,2,84.3,$70-90,5289.05,false,0
1131-QQZEB,Male,true,true,false,71,49-72m,Two year,Bank transfer (automatic),No,0,23.95,<$35,1756.2,false,0
5716-EZXZN,Female,false,true,true,65,49-72m,Two year,Credit card (automatic),Fiber optic,4,99.05,$90+,6416.7,false,0
6837-BJYDQ,Male,false,false,false,3,00-06m,One year,Mailed check,No,0,19.6,<$35,61.35,false,0
2135-RXIHG,Male,false,false,false,1,00-06m,Month-to-month,Electronic check,DSL,0,45.65,$35-70,45.65,true,1
6440-DKQGE,Male,false,false,true,30,25-48m,One year,Credit card (automatic),DSL,3,64.5,$35-70,1929.95,false,0
3466-BYAVD,Male,false,true,true,15,13-24m,Month-to-month,Mailed check,DSL,4,69.5,$35-70,1071.4,false,0
3780-YVMFA,Female,false,true,true,8,07-12m,Month-to-month,Electronic check,DSL,3,68.55,$35-70,564.35,false,0
3874-EQOEP,Male,false,false,false,7,07-12m,Month-to-month,Mailed check,Fiber optic,2,95.0,$90+,655.5,true,1
1679-JRFBR,Female,false,true,true,70,49-72m,One year,Credit card (automatic),Fiber optic,5,108.15,$90+,7930.55,false,0
9073-ZZIAY,Male,false,true,true,62,49-72m,Two year,Electronic check,DSL,6,86.1,$70-90,5215.25,false,0
3077-RSNTJ,Female,false,true,true,6,00-06m,Month-to-month,Mailed check,No,0,19.7,<$35,113.5,false,0
6551-GNYDG,Female,false,true,true,14,13-24m,Month-to-month,Bank transfer (automatic),Fiber optic,1,80.9,$70-90,1152.8,false,0
9167-APMXZ,Female,false,false,false,22,13-24m,Month-to-month,Bank transfer (automatic),Fiber optic,1,84.15,$70-90,1821.95,false,0
2749-CTKAJ,Male,false,true,true,22,13-24m,One year,Mailed check,No,0,20.15,<$35,419.9,false,0
6371-NZYEG,Male,false,true,true,16,13-24m,Two year,Mailed check,DSL,3,64.25,$35-70,1024.0,false,0
7554-NEWDD,Male,false,false,false,10,07-12m,Two year,Bank transfer (automatic),No,0,25.7,<$35,251.6,false,0
8992-VONJD,Female,false,false,true,13,13-24m,Month-to-month,Electronic check,DSL,2,56.0,$35-70,764.55,false,0
0867-MKZVY,Female,false,true,false,20,13-24m,Month-to-month,Electronic check,Fiber optic,1,82.4,$70-90,1592.35,true,1
4482-EWFMI,Female,false,false,false,2,00-06m,Month-to-month,Electronic check,Fiber optic,0,69.7,$35-70,135.2,false,0
4648-YPBTM,Male,false,false,false,53,49-72m,Two year,Bank transfer (automatic),DSL,4,73.9,$70-90,3958.25,false,0
2907-ILJBN,Female,false,true,true,11,07-12m,One year,Mailed check,No,0,20.6,<$35,233.9,false,0
6345-FZOQH,Male,false,true,false,69,49-72m,Two year,Mailed check,No,0,19.9,<$35,1363.45,false,0
3376-BMGFE,Female,false,false,false,4,00-06m,Month-to-month,Bank transfer (automatic),Fiber optic,0,70.9,$70-90,273.0,true,1
5997-OPVFA,Male,false,true,false,72,49-72m,Two year,Bank transfer (automatic),DSL,6,89.05,$70-90,6254.45,false,0
3445-HXXGF,Male,true,true,false,58,49-72m,Month-to-month,Electronic check,DSL,3,45.3,$35-70,2651.2,true,1
1159-WFSGR,Female,false,true,true,16,13-24m,Month-to-month,Electronic check,No,0,20.4,<$35,321.4,false,0
7654-YWJUF,Male,false,true,false,43,25-48m,One year,Bank transfer (automatic),Fiber optic,3,84.25,$70-90,3539.25,false,0
1875-QIVME,Female,false,true,false,2,00-06m,Month-to-month,Electronic check,Fiber optic,4,104.4,$90+,242.8,true,1
6727-IOTLZ,Male,false,true,false,14,13-24m,Two year,Mailed check,DSL,5,81.95,$70-90,1181.75,false,0
0691-JVSYA,Female,false,true,false,53,49-72m,One year,Bank transfer (automatic),Fiber optic,3,94.85,$90+,5000.2,true,1
5918-VUKWP,Female,false,false,false,32,25-48m,One year,Bank transfer (automatic),No,0,20.55,<$35,654.55,false,0
1744-JHKYS,Female,false,true,false,34,25-48m,Month-to-month,Electronic check,No,0,24.7,<$35,780.2,false,0
2656-FMOKZ,Female,true,false,false,15,13-24m,Month-to-month,Mailed check,Fiber optic,0,74.45,$70-90,1145.7,true,1
2070-FNEXE,Female,true,false,false,7,07-12m,Month-to-month,Bank transfer (automatic),Fiber optic,1,76.45,$70-90,503.6,true,1
5947-SGKCL,Female,false,true,true,15,13-24m,Month-to-month,Bank transfer (automatic),Fiber optic,4,105.35,$90+,1559.25,false,0
3712-PKXZA,Male,false,true,false,61,49-72m,One year,Credit card (automatic),No,0,20.55,<$35,1252.0,false,0
6317-YPKDH,Female,false,false,false,1,00-06m,Month-to-month,Bank transfer (automatic),DSL,1,29.95,<$35,29.95,true,1
6582-OIVSP,Female,false,false,false,1,00-06m,Month-to-month,Mailed check,DSL,0,45.3,$35-70,45.3,false,0
9367-WXLCH,Male,false,false,false,8,07-12m,Month-to-month,Bank transfer (automatic),Fiber optic,1,84.5,$70-90,662.65,true,1
5524-KHNJP,Male,false,true,true,33,25-48m,One year,Credit card (automatic),DSL,4,74.75,$70-90,2453.3,false,0
1918-ZBFQJ,Female,false,false,false,13,13-24m,Month-to-month,Electronic check,Fiber optic,2,79.25,$70-90,1111.65,true,1
1024-GUALD,Female,false,true,false,1,00-06m,Month-to-month,Electronic check,DSL,0,24.8,<$35,24.8,true,1
4827-USJHP,Male,false,false,false,20,13-24m,Month-to-month,Mailed check,DSL,1,51.8,$35-70,1023.85,false,0
8167-GJLRN,Male,false,false,false,3,00-06m,Month-to-month,Electronic check,DSL,1,30.4,<$35,82.15,false,0
0956-SYCWG,Female,false,false,false,13,13-24m,One year,Electronic check,No,0,19.65,<$35,244.8,false,0
8017-UVSZU,Female,false,true,false,40,25-48m,Month-to-month,Credit card (automatic),DSL,1,56.6,$35-70,2379.1,false,0
7100-FQPRV,Male,false,true,true,43,25-48m,One year,Credit card (automatic),DSL,3,71.9,$70-90,3173.35,false,0
2472-OVKUP,Male,false,true,false,6,00-06m,Month-to-month,Electronic check,Fiber optic,3,91.0,$90+,531.0,true,1
2984-RGEYA,Female,false,true,true,69,49-72m,Two year,Bank transfer (automatic),No,0,19.75,<$35,1375.4,false,0
9680-NIAUV,Female,false,true,true,72,49-72m,Two year,Credit card (automatic),Fiber optic,5,109.7,$90+,8129.3,false,0
2146-EGVDT,Male,false,true,true,59,49-72m,Two year,Credit card (automatic),No,0,19.3,<$35,1192.7,false,0
2604-IJPDU,Female,false,true,false,20,13-24m,Month-to-month,Electronic check,Fiber optic,4,96.55,$90+,1901.65,false,0
9178-JHUVJ,Male,false,true,true,24,13-24m,Two year,Bank transfer (automatic),No,0,24.1,<$35,587.4,false,0
6168-YBYNP,Male,false,false,false,59,49-72m,Month-to-month,Electronic check,Fiber optic,5,111.35,$90+,6519.75,false,0
7255-SSFBC,Male,false,true,true,72,49-72m,Two year,Bank transfer (automatic),Fiber optic,5,112.25,$90+,8041.65,false,0
3645-DEYGF,Male,false,false,true,1,00-06m,Month-to-month,Mailed check,No,0,20.75,<$35,20.75,false,0
9323-HGFWY,Female,false,true,false,27,25-48m,One year,Credit card (automatic),Fiber optic,4,101.9,$90+,2681.15,false,0
8544-GOQSH,Female,false,false,false,14,13-24m,Month-to-month,Credit card (automatic),Fiber optic,2,80.05,$70-90,1112.3,false,0
3363-DTIVD,Male,false,true,true,71,49-72m,Two year,Electronic check,Fiber optic,4,105.55,$90+,7405.5,false,0
7018-WBJNK,Male,false,false,true,13,13-24m,Month-to-month,Credit card (automatic),Fiber optic,1,78.3,$70-90,1033.95,false,0
9142-KZXOP,Male,false,false,false,44,25-48m,Month-to-month,Credit card (automatic),Fiber optic,0,68.85,$35-70,2958.95,false,0
7674-YTAFD,Female,false,false,false,33,25-48m,One year,Bank transfer (automatic),Fiber optic,2,79.95,$70-90,2684.85,false,0
6348-SNFUS,Male,false,true,true,72,49-72m,Two year,Credit card (automatic),DSL,5,55.45,$35-70,4179.2,false,0
1285-OKIPP,Male,false,false,false,1,00-06m,Month-to-month,Electronic check,Fiber optic,1,79.9,$70-90,79.9,true,1
7825-ECJRF,Female,false,false,false,19,13-24m,Month-to-month,Electronic check,Fiber optic,5,106.6,$90+,1934.45,true,1
1347-KTTTA,Male,false,true,false,64,49-72m,One year,Credit card (automatic),Fiber optic,5,102.45,$90+,6654.1,false,0
7841-TZDMQ,Male,false,false,false,2,00-06m,Month-to-month,Credit card (automatic),DSL,0,46.0,$35-70,84.5,true,1
4195-NZGTA,Female,false,false,false,1,00-06m,Month-to-month,Electronic check,DSL,0,25.25,<$35,25.25,false,0
7157-SMCFK,Male,false,false,true,61,49-72m,Two year,Mailed check,No,0,19.75,<$35,1124.2,false,0
4709-LKHYG,Female,false,true,true,29,25-48m,One year,Electronic check,No,0,20.0,<$35,540.05,false,0
2504-DSHIH,Male,true,true,false,23,13-24m,Month-to-month,Electronic check,Fiber optic,1,86.8,$70-90,1975.85,false,0
0699-NDKJM,Female,false,true,false,57,49-72m,Month-to-month,Bank transfer (automatic),DSL,5,58.75,$35-70,3437.45,false,0
9286-BHDQG,Male,false,true,true,72,49-72m,Two year,Credit card (automatic),DSL,4,45.25,$35-70,3139.8,false,0
0230-WEQUW,Male,false,true,false,66,49-72m,Two year,Bank transfer (automatic),DSL,5,56.6,$35-70,3789.2,false,0
2040-LDIWQ,Male,false,true,true,65,49-72m,Two year,Bank transfer (automatic),DSL,5,84.2,$70-90,5324.5,false,0
6496-JDSSB,Female,false,false,false,8,07-12m,Month-to-month,Bank transfer (automatic),Fiber optic,1,80.0,$70-90,624.6,false,0
9408-SSNVZ,Female,false,false,false,4,00-06m,Month-to-month,Electronic check,Fiber optic,0,70.15,$70-90,268.35,true,1
